N,T,Iterations,Diff,Time
3,-10,22,0.000966,0.00008824
3,-5,22,0.000681,0.00008791
3,0,21,0.000894,0.00008469
3,5,21,0.000528,0.00008419
3,10,20,0.000525,0.00012168
3,15,18,0.000787,0.00007351
3,20,17,0.000572,0.00006854
3,25,18,0.000596,0.00007246
3,30,19,0.000858,0.00008699
3,35,20,0.000912,0.00008006
5,-10,51,0.000850,0.00068375
5,-5,50,0.000775,0.00057248
5,0,48,0.000861,0.00055791
5,5,46,0.000828,0.00053231
5,10,43,0.000805,0.00052516
5,15,37,0.000870,0.00042996
5,20,28,0.000940,0.00032158
5,25,40,0.000897,0.00047952
5,30,44,0.000939,0.00050170
5,35,47,0.000833,0.00054058
10,-10,166,0.000941,0.01098500
10,-5,161,0.000939,0.01083034
10,0,154,0.000992,0.01028976
10,5,146,0.000942,0.00960812
10,10,132,0.000979,0.00868523
10,15,99,0.000941,0.00652948
10,20,115,0.000998,0.00757222
10,25,138,0.000931,0.00927758
10,30,149,0.000960,0.00984061
10,35,157,0.000936,0.01032193
15,-10,343,0.000969,0.06749543
15,-5,332,0.000980,0.06543826
15,0,318,0.000998,0.06328906
15,5,300,0.000983,0.05896532
15,10,271,0.000989,0.05364997
15,15,200,0.000978,0.03949623
15,20,236,0.000962,0.04682112
15,25,283,0.000970,0.05591675
15,30,307,0.000979,0.06080027
15,35,323,0.000995,0.06406856
20,-10,579,0.000994,0.26065380
20,-5,561,0.000983,0.25159341
20,0,537,0.000997,0.24200370
20,5,506,0.000980,0.22781696
20,10,456,0.000984,0.20390692
20,15,333,0.000983,0.14938018
20,20,394,0.000991,0.17690606
20,25,476,0.000981,0.21315372
20,30,517,0.001000,0.23190546
20,35,546,0.000986,0.24512223
25,-10,874,0.000992,0.73110260
25,-5,846,0.000987,0.70655208
25,0,810,0.000989,0.67861643
25,5,761,0.000993,0.63695681
25,10,685,0.000986,0.57270474
25,15,496,0.000991,0.41468782
25,20,590,0.000991,0.49794224
25,25,715,0.000993,0.59691815
25,30,779,0.000996,0.65232068
25,35,823,0.000989,0.68919782
50,-10,1000,4.069317,6.43971669
50,-5,1000,2.688321,6.42134535
50,0,1000,1.593048,6.43556322
50,5,1000,0.783499,6.42097830
50,10,1000,0.259673,6.41971973
50,15,1000,0.021570,6.41695050
50,20,1000,0.069190,6.42354559
50,25,1000,0.402534,6.43551048
50,30,1000,1.021602,6.43057314
50,35,1000,1.926392,6.41909906
100,-10,1000,48.040192,50.33354369
100,-5,1000,32.090583,49.77613948
100,0,1000,19.440893,49.79969906
100,5,1000,10.091123,49.84086672
100,10,1000,4.041271,49.78540393
100,15,1000,1.291339,49.71164348
100,20,1000,1.841325,49.75823234
100,25,1000,5.691231,49.75389729
100,30,1000,12.841055,49.77931600
100,35,1000,23.290799,49.81195190
